,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cliprange,params_ent_coef,params_gamma,params_lambda,params_lr,params_n_steps,params_net_arch,params_noptepochs,state
78,78,5.864777943291856,2021-04-12 20:23:48.212921,2021-04-12 20:34:19.490373,0 days 00:10:31.277452,128,0.1,2.4195035479872304e-07,0.95,0.9,0.0669257883346621,64,32x32,30,COMPLETE
79,79,7.023781165040876,2021-04-12 20:34:19.717216,2021-04-12 20:44:44.763386,0 days 00:10:25.046170,128,0.1,9.3963141988892e-08,0.95,0.9,0.009376798299366725,64,32x32,10,COMPLETE
80,80,8.58551738875811,2021-04-12 20:44:44.800252,2021-04-12 20:55:25.260900,0 days 00:10:40.460648,128,0.1,4.3734050875266724e-07,0.95,0.92,0.0015711227603082082,64,4x4,50,COMPLETE
81,81,4.79127551011813,2021-04-12 20:55:25.294952,2021-04-12 21:05:58.348376,0 days 00:10:33.053424,256,0.1,1.3383637016198432e-06,0.95,0.9,0.014337826950252845,64,32x32,30,COMPLETE
82,82,10.526916180826872,2021-04-12 21:05:58.383677,2021-04-12 21:16:31.234717,0 days 00:10:32.851040,256,0.1,1.376542123334784e-06,0.99,1.0,0.0007907337831390363,64,4x4,30,COMPLETE
83,83,6.312961656883137,2021-04-12 21:16:31.270187,2021-04-12 21:27:03.427784,0 days 00:10:32.157597,256,0.1,7.715391590990632e-05,0.9,0.92,0.01208361098790141,64,8x8,30,COMPLETE
84,84,9.022908693197309,2021-04-12 21:27:03.462622,2021-04-12 21:37:28.130307,0 days 00:10:24.667685,256,0.1,1.6596939301798548e-05,0.99,0.9,0.036917190739441094,512,32x32,30,COMPLETE
85,85,5.358008935042088,2021-04-12 21:37:28.163675,2021-04-12 21:48:00.421814,0 days 00:10:32.258139,256,0.1,6.507201646436757e-07,0.95,0.9,0.015620319620100702,64,32x32,30,COMPLETE
86,86,4.951449494945283,2021-04-12 21:48:00.457646,2021-04-12 21:58:32.319605,0 days 00:10:31.861959,256,0.1,2.444634322442992e-07,0.95,0.9,0.024090485833378167,64,32x32,30,COMPLETE
87,87,8.509392153711596,2021-04-12 21:58:32.353449,2021-04-12 22:08:55.388502,0 days 00:10:23.035053,64,0.1,2.3776672673122672e-06,0.95,0.9,0.006088026696232175,64,32x32,1,COMPLETE
88,88,6.39954608884718,2021-04-12 22:08:55.423016,2021-04-12 22:19:49.780473,0 days 00:10:54.357457,32,0.1,9.353375993409848e-06,0.95,0.9,0.018455611860240115,64,32x32,50,COMPLETE
89,89,9.693877083731746,2021-04-12 22:19:49.813156,2021-04-12 22:28:24.774015,0 days 00:08:34.960859,256,0.1,9.935395718785542e-07,0.95,0.92,0.010680735412174437,2048,4x4,5,COMPLETE
90,90,6.080899537042804,2021-04-12 22:28:24.807036,2021-04-12 22:38:53.706213,0 days 00:10:28.899177,64,0.1,4.540483797909292e-06,0.98,0.9,0.008262152421458334,64,32x32,30,COMPLETE
91,91,6.20736574431273,2021-04-12 22:38:53.945290,2021-04-12 22:49:22.904403,0 days 00:10:28.959113,128,0.2,3.0487274575342406e-07,0.9,0.8,0.04905895316029364,128,32x32,50,COMPLETE
92,92,10.296484915566902,2021-04-12 22:49:22.940530,2021-04-12 22:59:52.666647,0 days 00:10:29.726117,64,0.1,1.464797452104574e-06,0.99,0.9,0.004168442302723655,1024,4x4,30,COMPLETE
93,93,8.788793941863963,2021-04-12 22:59:52.701631,2021-04-12 23:11:22.460064,0 days 00:11:29.758433,256,0.4,4.854291665467525e-08,0.995,0.92,0.030038492498549896,16,32x32,50,COMPLETE
94,94,10.02486550441483,2021-04-12 23:11:22.494979,2021-04-12 23:21:48.725804,0 days 00:10:26.230825,128,0.1,6.998197773707375e-07,0.99,0.9,0.01479865094600201,64,4x4,20,COMPLETE
95,95,6.184235795318147,2021-04-12 23:21:48.761858,2021-04-12 23:32:17.819254,0 days 00:10:29.057396,256,0.1,1.919293891764386e-07,0.95,0.9,0.020247541932310743,64,32x32,30,COMPLETE
96,96,9.526279569877257,2021-04-12 23:32:17.855783,2021-04-12 23:42:47.918415,0 days 00:10:30.062632,256,0.1,4.0789377579749414e-07,0.95,0.9,0.02416584918998376,64,32x32,30,COMPLETE
97,97,,2021-04-12 23:42:47.952654,,,256,0.1,2.1270441603772846e-07,0.95,0.9,0.012114713212553672,64,32x32,30,RUNNING
98,98,6.8738086285032125,2021-04-13 02:55:08.661715,2021-04-13 03:05:41.913704,0 days 00:10:33.251989,256,0.1,1.1347620992210617e-07,0.95,0.9,0.012605146198302978,64,32x32,30,COMPLETE
99,99,5.88385939038344,2021-04-13 03:05:41.958874,2021-04-13 03:16:10.945918,0 days 00:10:28.987044,256,0.1,2.7742055762182744e-07,0.95,0.9,0.005399511121585966,64,32x32,30,COMPLETE
100,100,8.975688035954557,2021-04-13 03:16:10.985468,2021-04-13 03:26:40.913009,0 days 00:10:29.927541,256,0.1,2.1731717027142676e-06,0.95,0.92,0.0910002347366393,64,32x32,30,COMPLETE
101,101,8.764552758403195,2021-04-13 03:26:40.951823,2021-04-13 03:37:11.117822,0 days 00:10:30.165999,64,0.1,2.0618849891067694e-07,0.9,0.95,0.038618797922538285,256,32x32,30,COMPLETE
102,102,9.183411966625796,2021-04-13 03:37:11.150971,2021-04-13 03:47:32.710999,0 days 00:10:21.560028,256,0.1,1.0760622841122307e-06,0.99,0.9,0.05806460108118838,64,16x16,10,COMPLETE
103,103,9.516635931916145,2021-04-13 03:47:32.744810,2021-04-13 03:58:28.974371,0 days 00:10:56.229561,64,0.1,0.0030932578102580315,0.999,0.98,0.0025401227565534797,32,4x4,50,COMPLETE
104,104,7.454355245864273,2021-04-13 03:58:29.006059,2021-04-13 04:08:54.362663,0 days 00:10:25.356604,128,0.1,4.4204300043712086e-07,0.9,0.99,0.02629983608558819,128,32x32,30,COMPLETE
105,105,5.5491978921133835,2021-04-13 04:08:54.398327,2021-04-13 04:19:24.024346,0 days 00:10:29.626019,256,0.1,0.0006476011345887734,0.95,0.9,0.007664083595805855,64,32x32,30,COMPLETE
106,106,,2021-04-13 04:19:24.059682,,,256,0.1,6.617193975056315e-07,0.95,0.9,0.01564084908547238,64,32x32,30,RUNNING
